tau,omega,supp_1e9,supp_1e10,supp_1e11
0.7999999999999999,0.3616666666666667,,,
0.7999999999999999,0.38333333333333336,,,
0.7999999999999999,0.405,,,
0.7999999999999999,0.4266666666666667,,,
0.7999999999999999,0.44833333333333336,,,
0.7999999999999999,0.47000000000000003,,,
0.7999999999999999,0.4916666666666667,,,
0.7999999999999999,0.5133333333333333,,,
0.7999999999999999,0.535,,,
0.7999999999999999,0.5566666666666666,,,
0.7999999999999999,0.5783333333333334,,,
0.7999999999999999,0.6,,,
0.85,0.08,,,
0.85,0.10166666666666667,,,
0.85,0.12333333333333334,,,
0.85,0.14500000000000002,,,
0.85,0.16666666666666669,,,
0.85,0.18833333333333335,,,
0.85,0.21000000000000002,,,
0.85,0.2316666666666667,,,
0.85,0.25333333333333335,,,
0.85,0.275,,,
0.85,0.2966666666666667,,,
0.85,0.31833333333333336,,,
0.85,0.34,,,
0.85,0.3616666666666667,,,
0.85,0.38333333333333336,,,
0.85,0.405,,,
0.85,0.4266666666666667,,,
0.85,0.44833333333333336,,,
0.85,0.47000000000000003,,,
0.85,0.4916666666666667,,,
0.85,0.5133333333333333,,,
0.85,0.535,,,
0.85,0.5566666666666666,,,
0.85,0.5783333333333334,,,
0.85,0.6,,,
0.8999999999999999,0.08,,,
0.8999999999999999,0.10166666666666667,,,
0.8999999999999999,0.12333333333333334,,,
0.8999999999999999,0.14500000000000002,,,
0.8999999999999999,0.16666666666666669,,,
0.8999999999999999,0.18833333333333335,,,
0.8999999999999999,0.21000000000000002,,,
0.8999999999999999,0.2316666666666667,,,
0.8999999999999999,0.25333333333333335,,,
0.8999999999999999,0.275,,,
0.8999999999999999,0.2966666666666667,,,
0.8999999999999999,0.31833333333333336,,,
0.8999999999999999,0.34,,,
0.8999999999999999,0.3616666666666667,,,
0.8999999999999999,0.38333333333333336,,,
0.8999999999999999,0.405,,,
0.8999999999999999,0.4266666666666667,,,
0.8999999999999999,0.44833333333333336,,,
0.8999999999999999,0.47000000000000003,,,
0.8999999999999999,0.4916666666666667,,,
0.8999999999999999,0.5133333333333333,,,
0.8999999999999999,0.535,,,
0.8999999999999999,0.5566666666666666,,,
0.8999999999999999,0.5783333333333334,,,
0.8999999999999999,0.6,,,
0.95,0.08,,,
0.95,0.10166666666666667,,,
0.95,0.12333333333333334,,,
0.95,0.14500000000000002,,,
0.95,0.16666666666666669,,,
0.95,0.18833333333333335,,,
0.95,0.21000000000000002,,,
0.95,0.2316666666666667,,,
0.95,0.25333333333333335,,,
0.95,0.275,,,
0.95,0.2966666666666667,,,
0.95,0.31833333333333336,,,
0.95,0.34,,,
0.95,0.3616666666666667,,,
0.95,0.38333333333333336,,,
0.95,0.405,,,
