omega,omega0,epsilon,label
0.9898648648648648,1.7567567567567568,0.0,BEC ridge A (baseline norm)
1.016891891891892,1.7567567567567568,0.0855462484405628,BEC ridge A (baseline norm)
1.0439189189189189,1.7567567567567568,0.16039921582605599,BEC ridge A (baseline norm)
1.0709459459459458,1.7567567567567568,0.2388166102299054,BEC ridge A (baseline norm)
1.0912162162162162,1.7567567567567568,0.2994118695419713,BEC ridge A (baseline norm)
1.1114864864864864,1.7567567567567568,0.3600071288540365,BEC ridge A (baseline norm)
1.1283783783783785,1.7567567567567568,0.40990910711103223,BEC ridge A (baseline norm)
1.179054054054054,1.7567567567567568,0.4384245232578866,BEC ridge A (baseline norm)
1.2533783783783785,1.7567567567567568,0.47406879344145425,BEC ridge A (baseline norm)
1.2871621621621625,1.7567567567567568,0.49189092853323835,BEC ridge A (baseline norm)
1.3243243243243243,1.7567567567567568,0.5239707716984495,BEC ridge A (baseline norm)
1.3614864864864864,1.7567567567567568,0.5631794689003745,BEC ridge A (baseline norm)
1.4087837837837838,1.7567567567567568,0.6059525931206561,BEC ridge A (baseline norm)
1.4527027027027026,1.7567567567567568,0.6487257173409378,BEC ridge A (baseline norm)
1.4932432432432432,1.7567567567567568,0.705756549634647,BEC ridge A (baseline norm)
1.5304054054054053,1.7567567567567568,0.7592229549099988,BEC ridge A (baseline norm)
1.570945945945946,1.7567567567567568,0.8162537872037074,BEC ridge A (baseline norm)
1.6114864864864864,1.7567567567567568,0.8768490465157732,BEC ridge A (baseline norm)
1.6655405405405406,1.7567567567567568,0.9196221707360543,BEC ridge A (baseline norm)
1.7128378378378375,1.7567567567567568,0.9623952949563361,BEC ridge A (baseline norm)
1.7567567567567568,1.7567567567567568,1.0,BEC ridge A (baseline norm)
1.773648648648649,1.7567567567567568,1.0,BEC ridge A (baseline norm)
1.8175675675675675,1.7567567567567568,0.9980395651399038,BEC ridge A (baseline norm)
1.875,1.7567567567567568,0.9873462840848337,BEC ridge A (baseline norm)
1.9358108108108107,1.7567567567567568,0.9730885760114063,BEC ridge A (baseline norm)
1.9966216216216213,1.7567567567567568,0.9231865977544111,BEC ridge A (baseline norm)
2.043918918918919,1.7567567567567568,0.8875423275708434,BEC ridge A (baseline norm)
2.0945945945945947,1.7567567567567568,0.8483336303689188,BEC ridge A (baseline norm)
2.1790540540540544,1.7567567567567568,0.8625913384423458,BEC ridge A (baseline norm)
2.256756756756757,1.7567567567567568,0.8732846194974165,BEC ridge A (baseline norm)
